link,name,old_price,price
https://clickbuy.com.vn/apple-iphone-11-pro-max-64gb-cu.html,iPhone 11 Pro Max 64GB cũ đẹp 99%,[886.96],[377.83]
https://clickbuy.com.vn/apple-iphone-12-pro-128gb-cu-99.html,iPhone 12 Pro 128GB Cũ đẹp 99%,[1434.35],[412.61]
https://clickbuy.com.vn/iphone-15-plus-lock-128gb.html,iPhone 15 Plus Lock 128GB,,[695.22]
https://clickbuy.com.vn/iphone-14-plus-128gb-cu-dep-99.html,iPhone 14 Plus 128GB cũ đẹp 99%,[1390.87],[616.96]
https://clickbuy.com.vn/iphone-14-128gb-chinh-hang-cu-99.html,iPhone 14 128GB Cũ đẹp 99%,[782.17],[543.04]
https://clickbuy.com.vn/iphone-14-pro-max-256gb-cu-dep-99.html,iPhone 14 Pro Max 256GB cũ đẹp 99%,[1477.83],[921.3]
https://clickbuy.com.vn/apple-iphone-12-128gb-cu-99.html,iPhone 12 128GB cũ đẹp 99%,[869.13],[325.65]
https://clickbuy.com.vn/apple-iphone-12-pro-max-256gb-cu-99.html,iPhone 12 Pro Max 256GB cũ đẹp 99%,[1477.83],[551.74]
https://clickbuy.com.vn/apple-iphone-11-pro-64gb-cu-99.html,iPhone 11 Pro 64GB cũ đẹp 99%,[782.17],[308.26]
https://clickbuy.com.vn/apple-iphone-11-64gb-chinh-hang-cu.html,iPhone 11 64GB cũ đẹp 99%,,[251.74]
https://clickbuy.com.vn/sony-xperia-1-iii-mark-3-12gb-256gb-nhat-cu-99.html,Sony Xperia 1 III (Mark 3) 12GB|256GB Nhật Cũ 99%,[695.22],[334.35]
https://clickbuy.com.vn/ipad-pro-m1-11-128gb-lte-chinh-hang-viet-nam.html,iPad Pro 2021 M1 11'' 5G 128GB | Chính hãng Việt Nam,[1130.0],[1060.43]
https://clickbuy.com.vn/ipad-pro-m1-11-256gb-wifi-chinh-hang-viet-nam.html,iPad Pro M1 11'' –  256GB Wifi | Chính hãng Việt Nam,[1130.0],[986.52]
https://clickbuy.com.vn/inoi-a72,INOI A72 (4G) 4GB 128GB Chính Hãng,,[108.26]
https://clickbuy.com.vn/inoi-288s,INOI 288S (4G) Chính Hãng,,[51.74]
https://clickbuy.com.vn/inoi-a83,INOI A83 (4G) 6GB 128GB Chính Hãng ,,[112.61]
https://clickbuy.com.vn/inoi-note-13s,INOI Note 13s 8GB 256GB Chính Hãng,,[147.39]
https://clickbuy.com.vn/samsung-galaxy-tab-s9-fe-wifi-6gb-128gb-chinh-hang.html,Samsung Galaxy Tab S9 Fe Wifi 6GB 128GB Chính Hãng,[477.83],[330.0]
https://clickbuy.com.vn/samsung-galaxy-tab-s6-lite,Samsung Galaxy Tab S6 Lite 4GB 64GB Chính Hãng,[390.87],[260.43]
https://clickbuy.com.vn/samsung-galaxy-tab-s8-5g-8gb-128gb-chinh-hang.html,Samsung Galaxy Tab S8 (5G) 8GB 128GB Chính Hãng,,[0.0]
https://clickbuy.com.vn/samsung-galaxy-tab-s7-fe-wifi-chinh-hang.html,Samsung Galaxy Tab S7 FE (Wifi) Chính Hãng,[608.26],[295.22]
https://clickbuy.com.vn/samsung-galaxy-tab-s9-fe-plus-wifi-8gb-128gb-chinh-hang.html,Samsung Galaxy Tab S9 FE Plus Wifi 8GB 128GB Chính Hãng,[651.74],[434.35]
https://clickbuy.com.vn/samsung-galaxy-tab-s9-fe-5g,Samsung Galaxy Tab S9 FE (5G) 6GB 128GB Chính Hãng,[477.83],[416.96]
https://clickbuy.com.vn/apple-watch-series-se-2023-gps-40mm-vien-nhom-day-vai-chinh-hang-vna.html,Apple Watch Series SE 2023 GPS 40mm | Viền nhôm dây vải | Chính Hãng VN/A,[390.87],[256.09]
https://clickbuy.com.vn/apple-watch-series-se-2023-gps-44mm-vien-nhom-day-vai-chinh-hang-vna.html,Apple Watch Series SE 2023 GPS 44mm | Viền nhôm dây vải | Chính Hãng VN/A,,[299.57]
